Survey Code,Survey,Food Group Code,Food Group,Indicator Code,Indicator,Geographic Level Code,Geographic Level,Element Code,Element,Unit,Value,Flag
"854_2021","Burkina Faso - 2021","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","6.700000","E"
"854_2021","Burkina Faso - 2021","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","11.000000","E"
"854_2021","Burkina Faso - 2021","FGW9","Vegetables, other","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","44.700000","E"
"854_2021","Burkina Faso - 2021","FGW9","Vegetables, other","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","40.600000","E"
"854_2021","Burkina Faso - 2021","FGW9","Vegetables, other","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","53.000000","E"
"854_2021","Burkina Faso - 2021","FGW10","Fruits, other","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","13.600000","E"
"854_2021","Burkina Faso - 2021","FGW10","Fruits, other","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","9.800000","E"
"854_2021","Burkina Faso - 2021","FGW10","Fruits, other","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","21.300000","E"
"854_2021","Burkina Faso - 2021","FGW11","Fried and salty snacks","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","8.500000","E"
"854_2021","Burkina Faso - 2021","FGW11","Fried and salty snacks","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","7.400000","E"
"854_2021","Burkina Faso - 2021","FGW11","Fried and salty snacks","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","10.700000","E"
"854_2021","Burkina Faso - 2021","FGW12","Sweet foods","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","17.000000","E"
"854_2021","Burkina Faso - 2021","FGW12","Sweet foods","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","15.100000","E"
"854_2021","Burkina Faso - 2021","FGW12","Sweet foods","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","20.800000","E"
"854_2021","Burkina Faso - 2021","FGW13","Sweet beverages","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","46.800000","E"
"854_2021","Burkina Faso - 2021","FGW13","Sweet beverages","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","40.500000","E"
"854_2021","Burkina Faso - 2021","FGW13","Sweet beverages","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","59.800000","E"
"854_2021","Burkina Faso - 2021","FGW15","Red palm oil","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","3.000000","E"
"854_2021","Burkina Faso - 2021","FGW15","Red palm oil","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","2.100000","E"
"854_2021","Burkina Faso - 2021","FGW15","Red palm oil","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","4.900000","E"
"854_2021","Burkina Faso - 2021","FGW18","Other beverages and foods","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","2.900000","E"
"854_2021","Burkina Faso - 2021","FGW18","Other beverages and foods","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","2.800000","E"
"854_2021","Burkina Faso - 2021","FGW18","Other beverages and foods","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","3.200000","E"
"116_2021","Cambodia - 2021","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10000","National","6121","Value","%","57.300000","E"
"116_2021","Cambodia - 2021","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10002","Rural","6121","Value","%","49.800000","E"
"116_2021","Cambodia - 2021","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10001","Urban","6121","Value","%","67.600000","E"
"116_2021","Cambodia - 2021","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","99.000000","E"
"116_2021","Cambodia - 2021","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","98.800000","E"
