Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),288,Ghana,5521,Feed,S2511,Wheat and products,2015,2015,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5131,Processing,S2511,Wheat and products,2015,2015,1000 t,10,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5154,Other uses (non-food),S2511,Wheat and products,2015,2015,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5170,Residuals,S2511,Wheat and products,2015,2015,1000 t,37,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5142,Food,S2511,Wheat and products,2015,2015,1000 t,473,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2015,2015,kg/cap,16.5,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,664,Food supply (kcal/capita/day),S2511,Wheat and products,2015,2015,kcal/cap/d,110.46,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,661,Food supply (kcal),S2511,Wheat and products,2015,2015,million Kcal,1156982.31,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2015,2015,g/cap/d,3.42,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,671,Protein supply quantity (t),S2511,Wheat and products,2015,2015,t,35848.3,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2015,2015,g/cap/d,0.67,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,681,Fat supply quantity (t),S2511,Wheat and products,2015,2015,t,7023.96,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5611,Import quantity,S2511,Wheat and products,2016,2016,1000 t,674,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5072,Stock Variation,S2511,Wheat and products,2016,2016,1000 t,-56,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5911,Export quantity,S2511,Wheat and products,2016,2016,1000 t,97,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5301,Domestic supply quantity,S2511,Wheat and products,2016,2016,1000 t,632,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5521,Feed,S2511,Wheat and products,2016,2016,1000 t,2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5131,Processing,S2511,Wheat and products,2016,2016,1000 t,12,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5154,Other uses (non-food),S2511,Wheat and products,2016,2016,1000 t,1,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5170,Residuals,S2511,Wheat and products,2016,2016,1000 t,41,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5142,Food,S2511,Wheat and products,2016,2016,1000 t,576,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2016,2016,kg/cap,19.61,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,664,Food supply (kcal/capita/day),S2511,Wheat and products,2016,2016,kcal/cap/d,128.5,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,661,Food supply (kcal),S2511,Wheat and products,2016,2016,million Kcal,1376851.95,I,Value imputed by a receiving agency,
